Crop wild relative	Related crop use category	Related crop common name
Linum decumbens Desf.	Seeds/oils	Linseed
Linum hirsutum L.	Seeds/oils	Linseed
Linum hirsutum L. subsp. hirsutum	Seeds/oils	Linseed
Linum hirsutum subsp. anatolicum (Boiss.) Hayek	Seeds/oils	Linseed
Linum hirsutum subsp. bozdaghense Yılmaz & Kaynak	Seeds/oils	Linseed
Linum hirsutum subsp. byzantinum Azn.	Seeds/oils	Linseed
Linum hirsutum subsp. glabrescens (Rochel) Soó	Seeds/oils	Linseed
Linum hirsutum subsp. oreocaricum P. H. Davis	Seeds/oils	Linseed
Lathyrus odoratus L.	Fodder/forage	Sweet pea
Lathyrus rotundifolius Willd.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus sativus L.	Fodder/forage	Grass pea/common chickling
Lathyrus stenophyllus Boiss. & Heldr.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus sylvestris L.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus tingitanus L.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus tuberosus L.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus undulatus Boiss.	Fodder/forage	Chickling vetch/flat pod peavine
Lens culinaris Medik.	Pulses	Lentil
Lens culinaris Medik. subsp. culinaris	Pulses	Lentil
Lens culinaris subsp. odemensis (Ladiz.) M. E. Ferguson & al.	Pulses	Lentil
Lens culinaris subsp. orientalis (Boiss.) Ponert	Pulses	Lentil
Lens ervoides (Brign.) Grande	Pulses	Lentil
Lens lamottei Czefr.	Pulses	Lentil
Lens nigricans (M. Bieb.) Godr.	Pulses	Lentil
Lepidium meyeri subsp. turczaninowii (Lipsky) Schmalh.	Vegetables (salad)	Garden cress
Lepidium sativum L.	Vegetables (salad)	Garden cress
Lathyrus cicera L.	Fodder/forage	Grass pea/common chickling
Lathyrus cirrhosus Ser.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus clymenum L.	Fodder/forage	Cyprus vetch/ochrus chickling
Lathyrus gorgoni Parl.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus grandiflorus Sibth. & Sm.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus heterophyllus L.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus hierosolymitanus Boiss.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus hirsutus L.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus latifolius L.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus latifolius L. var. latifolius	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus ochrus (L.) DC.	Fodder/forage	Cyprus vetch/ochrus chickling
Lactuca saligna L.	Vegetables (salad)	Lettuce
Lactuca scarioloides Boiss.	Vegetables (salad)	Lettuce
Lactuca serriola L.	Vegetables (salad)	Lettuce
Lactuca singularis Wilmott	Vegetables (salad)	Lettuce
Lactuca tetrantha B. L. Burtt & P. H. Davis	Vegetables (salad)	Lettuce
Lactuca virosa L.	Vegetables (salad)	Lettuce
Lactuca virosa subsp. livida (Boiss. & Reut.) Ladero & A. Velasco	Vegetables (salad)	Lettuce
Lactuca watsoniana Trel.	Vegetables (salad)	Lettuce
Lathyrus amphicarpos L.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus annuus L.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus blepharicarpus Boiss.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus cassius Boiss.	Fodder/forage	Chickling vetch/flat pod peavine
Lathyrus chloranthus Boiss.	Fodder/forage	Chickling vetch/flat pod peavine
Humulus lupulus L.	Beverages	Hop
Juglans ailantifolia Carrière	Nuts	Black walnut
Juglans cinerea L.	Nuts	Japanese walnut
Juglans mandshurica Maxim.	Fruits (savoury)	Butternut
Juglans nigra L.	Nuts	Black walnut
Juglans regia L.	Nuts	Black walnut
Lactuca aculeata Boiss. & Kotschy	Vegetables (salad)	Lettuce
Lactuca alpestris (Gand.) Rech. f.	Vegetables (salad)	Lettuce
Lactuca cyprica (Rech. f.) N. Kilian & Greuter	Vegetables (salad)	Lettuce
Lactuca georgica Grossh.	Vegetables (salad)	Lettuce
Helianthus petiolaris Nutt.	Seeds/oils	Sunflower seed
Helianthus strumosus L.	Seeds/oils	Sunflower seed
Hordeum brevisubulatum (Trin.) Link	Cereals	Barley
Hordeum brevisubulatum (Trin.) Link subsp. brevisubulatum	Cereals	Barley
Hordeum brevisubulatum subsp. nevskianum (Bowden) Tzvelev	Cereals	Barley
Hordeum brevisubulatum subsp. turkestanicum (Nevski) Tzvelev	Cereals	Barley
Hordeum brevisubulatum subsp. violaceum (Boiss. & Hohen.) Tzvelev	Cereals	Barley
Hordeum bulbosum L.	Cereals	Barley
Hordeum bulbosum L. subsp. bulbosum	Cereals	Barley
Hordeum bulbosum subsp. nodosum (L.) B. R. Baum	Cereals	Barley
Hordeum jubatum L.	Cereals	Barley
Hordeum marinum Huds.	Cereals	Wheat
Hordeum vulgare L.	Cereals	Barley
Hordeum vulgare L. subsp. vulgare	Cereals	Barley
Hordeum vulgare subsp. aegiceras (Nees ex Royle) Á. Löve	Cereals	Barley
Hordeum vulgare subsp. agriocrithon (Åberg) Á. Löve & D. Löve	Cereals	Barley
Hordeum vulgare subsp. distichon (L.) Körn.	Cereals	Barley
Hordeum vulgare subsp. spontaneum (K. Koch) Thell.	Cereals	Barley
Festuca rubra subsp. scotica Al-Bermani	Fodder/forage	Red fescue
Festuca rubra subsp. thessalica Markgr.-Dann.	Fodder/forage	Red fescue
Ficus carica L.	Fruits	Fig
Ficus carica subsp. rupestris (Boiss.) Browicz	Fruits	Fig
Fragaria chiloensis (L.) Weston	Fruits	Strawberry
Fragaria moschata Weston	Fruits	Strawberry
Fragaria vesca L.	Fruits	Strawberry
Fragaria virginiana Mill.	Fruits	Strawberry
Fragaria viridis subsp. campestris (Steven) Pawł.	Fruits	Strawberry
Fragaria viridis Weston	Fruits	Strawberry
Fragaria viridis Weston subsp. viridis	Fruits	Strawberry
Galega orientalis Lam.	Fodder/forage	Fodder galega
Hedysarum coronarium L.	Fodder/forage	Sulla
Helianthus annuus L.	Seeds/oils	Sunflower seed
Helianthus debilis Nutt.	Seeds/oils	Sunflower seed
Helianthus decapetalus L.	Seeds/oils	Sunflower seed
Helianthus giganteus L.	Seeds/oils	Sunflower seed
Helianthus pauciflorus Nutt.	Seeds/oils	Sunflower seed
Erucastrum gallicum (Willd.) O. E. Schulz	Spices/oils/vegetables (green)	Mustard
Festuca heterophylla Lam.	Fodder/forage	Shade fescue
Festuca ovina L.	Fodder/forage	Fine leaved sheep’s fescue
Festuca ovina L. subsp. ovina	Fodder/forage	Fine leaved sheep’s fescue
Festuca ovina subsp. firmulacea (Markgr.-Dann.) Prob.	Fodder/forage	Fine leaved sheep’s fescue
Festuca ovina subsp. guestfalica (Rchb.) K. Richt.	Fodder/forage	Fine leaved sheep’s fescue
Festuca ovina subsp. hirtula (Travis) M. J. Wilk.	Fodder/forage	Fine leaved sheep’s fescue
Festuca ovina subsp. molinieri (Litard.) Foggi & J. Müll.	Fodder/forage	Fine leaved sheep’s fescue
Festuca ovina subsp. ophioliticola (Kerguélen) M. Wilk.	Fodder/forage	Fine leaved sheep’s fescue
Festuca ovina subsp. ruprechtii (Boiss.) Tzvelev	Fodder/forage	Fine leaved sheep’s fescue
Festuca ovina subsp. supina (Schur) Oborný	Fodder/forage	Fine leaved sheep’s fescue
Festuca rubra L.	Fodder/forage	Red fescue
Festuca rubra L. subsp. rubra	Fodder/forage	Red fescue
Festuca rubra subsp. juncea (Hack.) K. Richt.	Fodder/forage	Red fescue
Festuca rubra subsp. litoralis (G. Mey.) Auquier	Fodder/forage	Red fescue
Festuca rubra subsp. pruinosa (Hack.) Piper	Fodder/forage	Red fescue
Elytrigia intermedia subsp. pouzolzii (Godr.) Á. Löve	Cereals	Intermediate wheatgrass
Elytrigia intermedia subsp. pulcherrima (Grossh.) Tzvelev	Cereals	Intermediate wheatgrass
Elytrigia intermedia subsp. trichophora (Link) Á. Löve & D. Löve	Cereals	Intermediate wheatgrass
Elytrigia intermedia subsp. varnensis (Velen.) Valdés & H. Scholz	Cereals	Intermediate wheatgrass
Elytrigia juncea (L.) Nevski	Cereals	Wheat
Elytrigia juncea subsp. boreoatlantica (Simonet & Guin.) Hyl.	Cereals	Wheat
Elytrigia obtusiflora (DC.) Tzvelev	Cereals	Wheat
Elytrigia scirpea (C. Presl) Holub	Cereals	Wheat
Eragrostis pilosa (L.) P. Beauv.	Cereals	Teff
Eragrostis tef (Zuccagni) Trotter	Cereals	Teff
Eruca vesicaria (L.) Cav.	Oils/fodder	Rape
Erucastrum canariense Webb & Berthel.	Vegetables (root)/fodder	Turnip
Eleusine tristachya (Lam.) Lam.	Cereals	Finger millet
Elymus dahuricus Turcz. ex Griseb.	Cereals	Wheat
Elymus trachycaulus (Link) Shinners	Cereals	Wheat
Elymus trachycaulus (Link) Shinners subsp. trachycaulus	Cereals	Wheat
Elymus trachycaulus subsp. novae-angliae (Scribn.) Tzvelev	Cereals	Wheat
Elymus trachycaulus subsp. stefanssonii (Melderis) Á. Löve & D. Löve	Cereals	Wheat
Elytrigia bessarabica (Săvul. & Rayss) Prokudin	Cereals	Wheat
Elytrigia curvifolia (Lange) Holub	Cereals	Wheat
Elytrigia elongata (Host) Nevski	Cereals	Wheat
Elytrigia elongata (Host) Nevski subsp. elongata	Cereals	Wheat
Elytrigia elongata subsp. haifensis (Rech. f.) Valdés & H. Scholz	Cereals	Wheat
Elytrigia elongata subsp. salsa (Melderis) Valdés & H. Scholz	Cereals	Wheat
Elytrigia elongata subsp. turcica (McGuire) Valdés & H. Scholz	Cereals	Wheat
Elytrigia intermedia (Host) Nevski	Cereals	Intermediate wheatgrass
Elytrigia intermedia (Host) Nevski subsp. intermedia	Cereals	Intermediate wheatgrass
Elytrigia intermedia subsp. mucronata (Bercht.) Valdés & H. Scholz	Cereals	Intermediate wheatgrass
Elytrigia intermedia subsp. podperae (Nábĕlek) Á. Löve	Cereals	Intermediate wheatgrass
Diplotaxis siifolia Kunze subsp. siifolia	Vegetables (root)/fodder	Turnip
Diplotaxis siifolia subsp. vicentina (Samp.) Mart.-Laborde	Oils/fodder	Rape
Diplotaxis tenuifolia (L.) DC.	Oils/fodder	Rape
Echinochloa crus-galli (L.) P. Beauv.	Cereals	Japanese barnyard millet
Echinochloa crus-galli (L.) P. Beauv. subsp. crus-galli	Cereals	Japanese barnyard millet
Echinochloa crus-galli subsp. hispidula (Retz.) Honda	Cereals	Japanese barnyard millet
Echinochloa crus-galli subsp. spiralis (Vasinger) Tzvelev	Cereals	Japanese barnyard millet
Echinochloa oryzicola (Vasinger) Vasinger	Cereals	Japanese barnyard millet
Eleusine coracana (L.) Gaertn.	Cereals	Finger millet
Diplotaxis erucoides (L.) DC. subsp. erucoides	Oils/fodder	Rape
Diplotaxis muralis (L.) DC.	Oils/fodder	Rape
Diplotaxis siettiana Maire	Oils/fodder	Rape
Diplotaxis siifolia Kunze	Oils/fodder	Rape
Daucus carota subsp. drepanensis (Lojac.) Heywood	Vegetables (root)	Carrot
Daucus carota subsp. gadecaei (Rouy & E. G. Camus) Heywood	Vegetables (root)	Carrot
Daucus carota subsp. gummifer (Syme) Hook. f.	Vegetables (root)	Carrot
Daucus carota subsp. halophilus (Brot.) A. Pujadas	Vegetables (root)	Carrot
Daucus carota subsp. hispanicus (Gouan) Thell.	Vegetables (root)	Carrot
Daucus carota subsp. hispidus (Ball) Heywood	Vegetables (root)	Carrot
Daucus carota subsp. major (Vis.) Arcang.	Vegetables (root)	Carrot
Daucus carota subsp. majoricus A. Pujadas	Vegetables (root)	Carrot
Daucus carota subsp. maximus (Desf.) Ball	Vegetables (root)	Carrot
Daucus carota subsp. rupestris (Guss.) Heywood	Vegetables (root)	Carrot
Daucus carota subsp. sativus (Hoffm.) Arcang.	Vegetables (root)	Carrot
Daucus gracilis Steinh.	Vegetables (root)	Carrot
Daucus sahariensis Murb.	Vegetables (root)	Carrot
Diplotaxis erucoides (L.) DC.	Oils/fodder	Rape
Dactylis glomerata subsp. hackelii (Asch. & Graebn.) Cif. & Giacom.	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. hispanica (Roth) Nyman	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. ibizensis Stebbins & D. Zohary	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. izcoi S. Ortíz & Rodr. Oubiña	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. juncinella (Bory) K. Richt.	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. lobata (Drejer) H. Lindb.	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. lusitanica Stebbins & D. Zohary	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. merinoana (Horjales & al.) H. Scholz	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. oceanica G. Guignard	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. reichenbachii (Dalla Torre & Sarnth.) Stebbins & D. Zohary	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. rigida (Boiss. & Heldr.) Hayek	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. slovenica (Domin) Domin	Fodder/forage	Cocksfoot
Dactylis glomerata subsp. stebbinsii (Horjales & al.) H. Scholz	Fodder/forage	Cocksfoot
Daucus carota L.	Vegetables (root)	Carrot
Daucus carota L. subsp. carota	Vegetables (root)	Carrot
Daucus carota subsp. azoricus Franco	Vegetables (root)	Carrot
Daucus carota subsp. cantabricus A. Pujadas	Vegetables (root)	Carrot
Daucus carota subsp. commutatus (Paol.) Thell.	Vegetables (root)	Carrot
Crambe sventenii B. Pett. ex Bramwell & Sundell	Vegetables (green)	Ethiopian cabbage
Crambe tamadabensis A. Prina & A. Marrero	Vegetables (green)	Ethiopian cabbage
Crambe wildpretii Prina & Bramwell	Vegetables (green)	Ethiopian cabbage
Cucumis dipsaceus Spach	Fruits	Melon
Cucumis sativus L.	Fruits (savoury)	Cucumber
Cynara algarbiensis Mariz	Vegetables (green)	Artichoke
Cynara auranitica Post	Vegetables (green)	Artichoke
Cynara baetica (Spreng.) Pau	Vegetables (green)	Artichoke
Cynara baetica (Spreng.) Pau subsp. baetica	Vegetables (green)	Artichoke
Cynara cardunculus L.	Vegetables (green)	Artichoke
Cynara cardunculus subsp. flavescens Wiklund	Vegetables (green)	Artichoke
Cynara cardunculus subsp. zingaroensis (Raimondo & Domina) Raimondo & Domina	Vegetables (green)	Artichoke
Cynara humilis L.	Vegetables (green)	Artichoke
Cynara tournefortii Boiss. & Reut.	Vegetables (green)	Artichoke
Cynodon dactylon (L.) Pers.	Fodder/forage	Bermuda grass
Dactylis glomerata L.	Fodder/forage	Cocksfoot
Dactylis glomerata L. subsp. glomerata	Fodder/forage	Cocksfoot
Corylus avellana L.	Nuts	Hazelnut
Corylus colurna L.	Nuts	Giant filbert
Corylus maxima Mill.	Nuts	Giant filbert
Crambe arborea H. Christ	Vegetables (green)	Ethiopian cabbage
Crambe aspera M. Bieb.	Vegetables (green)	Ethiopian cabbage
Crambe feuillei A. Santos ex Prina & Mart.-Laborde	Vegetables (green)	Ethiopian cabbage
Crambe filiformis Jacq.	Vegetables (green)	Ethiopian cabbage
Crambe fruticosa L. f.	Vegetables (green)	Ethiopian cabbage
Crambe gomeraea H. Christ	Vegetables (green)	Ethiopian cabbage
Crambe hispanica L.	Vegetables (green)	Ethiopian cabbage
Crambe laevigata DC. ex H. Christ	Vegetables (green)	Ethiopian cabbage
Crambe microcarpa A. Santos	Vegetables (green)	Ethiopian cabbage
Crambe pritzelii Bolle	Vegetables (green)	Ethiopian cabbage
Crambe scaberrima Bramwell	Vegetables (green)	Ethiopian cabbage
Crambe scoparia Svent.	Vegetables (green)	Ethiopian cabbage
Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadley & Muñoz Garm	Spices	Black mustard
Coincya monensis subsp. nevadensis (Willk.) Leadlay	Spices	Black mustard
Coincya monensis subsp. orophila (Franco) Aedo, Leadlay & Muñoz Garm.	Spices	Black mustard
Coincya monensis subsp. puberula (Pau) Leadlay	Spices	Black mustard
Comarum palustre L.	Fruits	Strawberry
Cicer pinnatifidum Jaub. & Spach	Pulses	Chickpea
Cicer reticulatum Ladiz.	Pulses	Chickpea
Cichorium calvum Asch.	Vegetables (salad)/forage	Chicory
Cichorium endivia L.	Vegetables (salad)/forage	Chicory
Cichorium intybus L.	Vegetables (salad)/forage	Chicory
Cichorium pumilum Jacq.	Vegetables (salad)/forage	Chicory
Cichorium spinosum L.	Vegetables (salad)/forage	Chicory
Citrullus colocynthis (L.) Schrad.	Fruits	Watermelon
Citrullus lanatus (Thunb.) Matsum. & Nakai	Fruits	Watermelon
Coincya monensis (L.) Greuter & Burdet	Oils/fodder	Rape
Coincya monensis (L.) Greuter & Burdet subsp. monensis	Spices	Black mustard
Carthamus tenuis (Boiss. & C. I. Blanche) Bornm. subsp. tenuis	Oils	Safflower seed
Carthamus tenuis subsp. foliosus Hanelt	Oils	Safflower seed
Carthamus tenuis subsp. gracillimus (Rech. f.) Hanelt	Oils	Safflower seed
Castanea crenata Siebold & Zucc.	Nuts	American chestnut
Castanea sativa Mill.	Nuts	Chestnut
Chenopodium berlandieri Moq.	Cereals	Quinoa
Chenopodium ficifolium Sm.	Cereals	Quinoa
Chenopodium hircinum Schrad.	Cereals	Quinoa
Chenopodium quinoa Willd.	Cereals	Quinoa
Cicer bijugum Rech. f.	Pulses	Chickpea
Cicer canariense A. Santos & G. P. Lewis	Pulses	Chickpea
Cicer echinospermum P. H. Davis	Pulses	Chickpea
Cicer graecum Boiss.	Pulses	Chickpea
Brassica tournefortii Gouan	Spices/oils/vegetables (green)	Mustard
Brassica villosa Biv.	Vegetables (green)	Cabbage
Brassica villosa subsp. drepanensis (Caruel) Raimondo & P. Mazzola	Vegetables (green)	Cabbage
Carthamus boissieri Halácsy	Oils	Safflower seed
Carthamus creticus L.	Oils	Safflower seed
Carthamus dentatus (Forssk.) Vahl	Oils	Safflower seed
Carthamus dentatus (Forssk.) Vahl subsp. dentatus	Oils	Safflower seed
Carthamus dentatus subsp. ruber (Link) Hanelt	Oils	Safflower seed
Carthamus glaucus M. Bieb.	Oils	Safflower seed
Carthamus glaucus M. Bieb. subsp. glaucus	Oils	Safflower seed
Carthamus lanatus L.	Oils	Safflower seed
Carthamus leucocaulos Sm.	Oils	Safflower seed
Carthamus persicus Willd.	Oils	Safflower seed
Carthamus tenuis (Boiss. & C. I. Blanche) Bornm.	Oils	Safflower seed
Brassica rapa (L.) L.	Spices	White mustard
Brassica rapa L. subsp. rapa	Vegetables (root)/fodder	Turnip
Brassica rapa subsp. campestris (L.) A. R. Clapham	Vegetables (root)/fodder	Turnip
Brassica rapa subsp. chinensis (L.) Hanelt	Vegetables (root)/fodder	Turnip
Brassica rapa subsp. oleifera (DC.) Metzg.	Vegetables (root)/fodder	Turnip
Brassica rapa subsp. pekinensis (Lour.) Hanelt	Vegetables (root)/fodder	Turnip
Brassica repanda subsp. glabrescens (Poldini) Gómez Campo	Oils/fodder	Rape
Brassica rupestris Raf.	Vegetables (green)	Cabbage
Brassica oleracea subsp. caulorapa (DC.) Metzg.	Vegetables (green)	Ethiopian cabbage
Brassica oleracea subsp. fruticosa Metzg.	Oils/fodder	Rape
Brassica oxyrrhina (Coss.) Willk.	Spices/oils/vegetables (green)	Mustard
Brassica oleracea subsp. botrytis (L.) Duchesne	Vegetables (salad)	Perennial wall rocket
Brassica oleracea subsp. capitata (L.) Duchesne	Oils/fodder	Rape
Brassica oleracea L.	Vegetables (salad)	Salad rocket
Brassica oleracea L. subsp. oleracea	Oils/fodder	Rape
Brassica nigra (L.) W. D. J. Koch	Oils/fodder	Rape
Brassica insularis Moris	Vegetables (root)/fodder	Turnip
Brassica macrocarpa Guss.	Vegetables (green)	Cabbage
Brassica maurorum Durieu	Oils/fodder	Rape
Brassica montana Pourr.	Oils/fodder	Rape
Brassica napus L.	Oils/fodder	Rape
Brassica elongata Ehrh. subsp. elongata	Vegetables (green)	Cabbage
Brassica elongata subsp. integrifolia (Boiss.) Breistr.	Vegetables (green)	Cabbage
Brassica elongata subsp. pinnatifida (Schmalh.) Greuter & Burdet	Vegetables (green)	Cabbage
Brassica fruticulosa Cirillo	Oils/fodder	Rape
Brassica fruticulosa Cirillo subsp. fruticulosa	Oils/fodder	Rape
Brassica fruticulosa subsp. cossoniana (Boiss. & Reut.) Maire	Oils/fodder	Rape
Brassica hilarionis Post	Oils/fodder	Rape
Brassica incana Ten.	Oils/fodder	Rape
Beta trigyna Waldst. & Kit.	Sugar/fodder/vegetables (green)	Sugarbeet
Beta vulgaris L.	Fodder/forage	Fodder beet
Beta vulgaris L. subsp. vulgaris	Sugar/fodder/vegetables (green)	Sugarbeet
Beta vulgaris subsp. adanensis Pamuk.	Sugar/fodder/vegetables (green)	Sugarbeet
Beta vulgaris subsp. maritima (L.) Arcang.	Sugar/fodder/vegetables (green)	Sugarbeet
Brassica barrelieri (L.) Janka	Vegetables (root)/fodder	Turnip
Brassica cretica Lam.	Oils/fodder	Rape
Brassica cretica Lam. subsp. cretica	Vegetables (green)	Cabbage
Brassica cretica subsp. aegaea (Heldr. & Halácsy) Snogerup, M. A. Gust. & Bothmer	Vegetables (green)	Cabbage
Brassica cretica subsp. laconica M. A. Gust. & Snogerup	Vegetables (green)	Cabbage
Brassica cretica subsp. nivea (Boiss. & Spruner) M. A. Gust. & Snogerup	Vegetables (green)	Cabbage
Brassica elongata Ehrh.	Oils/fodder	Rape
Avena fatua subsp. meridionalis Malzev	Cereals	Oat
Avena hybrida Peterm.	Cereals	Oat
Avena insularis Ladiz.	Cereals	Oat
Avena longiglumis Durieu	Cereals	Oat
Avena murphyi Ladiz.	Cereals	Oat
Avena sterilis L.	Cereals	Oat
Avena sterilis L. subsp. sterilis	Cereals	Oat
Avena sterilis subsp. atherantha (C. Presl) H. Scholz	Cereals	Oat
Avena sterilis subsp. ludoviciana (Durieu) Gillet & Magne	Cereals	Oat
Avena sterilis subsp. trichophylla (K. Koch) Malzev	Cereals	Oat
Avena strigosa Schreb.	Cereals	Oat
Barbarea verna (Mill.) Asch.	Vegetables (salad)	American cress/early winter cress
Beta corolliflora Buttler	Sugar/fodder/vegetables (green)	Sugarbeet
Beta lomatogona Fisch. & C. A. Mey.	Sugar/fodder/vegetables (green)	Sugarbeet
Beta macrocarpa Guss.	Sugar/fodder/vegetables (green)	Sugarbeet
Beta macrorhiza Steven	Sugar/fodder/vegetables (green)	Sugarbeet
Beta nana Boiss. & Heldr.	Sugar/fodder/vegetables (green)	Sugarbeet
Beta patula Aiton	Sugar/fodder/vegetables (green)	Sugarbeet
Astragalus arenarius L.	Fodder/forage	Milkvetch
Astragalus cicer L.	Fodder/forage	Chickpea milkvetch
Astragalus pelecinus (L.) Barneby	Fodder/forage	Serradella
Astragalus pelecinus (L.) Barneby subsp. pelecinus	Fodder/forage	Serradella
Atriplex halimus L.	Fodder/forage	Mediterranean saltbush
Avena barbata Link	Cereals	Oat
Avena barbata Link subsp. barbata	Cereals	Oat
Avena barbata subsp. castellana Romero Zarco	Cereals	Oat
Avena barbata subsp. hirtula (Lag.) Tab. Morais	Cereals	Oat
Avena barbata subsp. lusitanica (Tab. Morais) Romero Zarco	Cereals	Oat
Avena barbata subsp. wiestii (Steud.) Mansf.	Cereals	Oat
Avena byzantina K. Koch	Cereals	Oat
Avena clauda Durieu	Cereals	Oat
Avena eriantha Durieu	Cereals	Oat
Avena fatua L.	Cereals	Oat
Avena fatua L. subsp. fatua	Cereals	Oat
Avena fatua subsp. aemulans (Nevski) H. Scholz	Cereals	Oat
Avena fatua subsp. cultiformis Malzev	Cereals	Oat
Asparagus arborescens Willd. ex Schult. & Schult. f.	Vegetables (green)	Asparagus
Asparagus densiflorus (Kunth) Jessop	Vegetables (green)	Asparagus
Asparagus fallax Svent.	Vegetables (green)	Asparagus
Asparagus horridus L.	Vegetables (green)	Asparagus
Asparagus inderiensis Blume ex Ledeb.	Vegetables (green)	Asparagus
Asparagus maritimus (L.) Mill.	Vegetables (green)	Asparagus
Asparagus nesiotes subsp. purpureiensis Marrero Rodr. & A. Ramos	Vegetables (green)	Asparagus
Asparagus nesiotes Svent.	Vegetables (green)	Asparagus
Asparagus nesiotes Svent. subsp. nesiotes	Vegetables (green)	Asparagus
Asparagus officinalis L.	Vegetables (green)	Asparagus
Asparagus officinalis L. subsp. officinalis	Vegetables (green)	Asparagus
Asparagus officinalis subsp. prostratus (Dumort.) Corb.	Vegetables (green)	Asparagus
Asparagus pastorianus Webb & Berthel.	Vegetables (green)	Asparagus
Asparagus plocamoides Webb ex Svent.	Vegetables (green)	Asparagus
Asparagus pseudoscaber Grecescu	Vegetables (green)	Asparagus
Asparagus tenuifolius Lam.	Vegetables (green)	Asparagus
Asparagus verticillatus L.	Vegetables (green)	Asparagus
Astartoseris triquetra (Labill.) N. Kilian & al.	Vegetables (salad)	Lettuce
Alopecurus pratensis L. subsp. pratensis	Fodder/forage	Meadow foxtail
Alopecurus pratensis subsp. alpestris (Wahlenb.) Selander	Fodder/forage	Meadow foxtail
Alopecurus pratensis subsp. laguriformis (Schur) Tzvelev	Fodder/forage	Meadow foxtail
Alopecurus pratensis subsp. pseudonigricans O. Schwarz	Fodder/forage	Meadow foxtail
Amblyopyrum muticum (Boiss.) Eig	Cereals	Wheat
Armoracia rusticana P. Gaertn. , B. Mey. & Scherb.	Vegetables (flavouring)	Horseradish
Arrhenatherum elatius (L.) J. Presl & C. Presl	Fodder/forage	Tall oatgrass
Arrhenatherum elatius (L.) J. Presl & C. Presl subsp. elatius	Fodder/forage	Tall oatgrass
Arrhenatherum elatius subsp. baeticum Romero Zarco	Fodder/forage	Tall oatgrass
Arrhenatherum elatius subsp. bulbosum (Willd.) Schübl. & G. Martens	Fodder/forage	Tall oatgrass
Arrhenatherum elatius subsp. nebrodense (Brullo & al.) Giardina & Raimondo	Fodder/forage	Tall oatgrass
Arrhenatherum elatius subsp. sardoum (Em. Schmid) Gamisans	Fodder/forage	Tall oatgrass
Asparagus acutifolius L.	Vegetables (green)	Asparagus
Asparagus albus L.	Vegetables (green)	Asparagus
Asparagus aphyllus L.	Vegetables (green)	Asparagus
Asparagus aphyllus L. subsp. aphyllus	Vegetables (green)	Asparagus
Asparagus aphyllus subsp. orientalis (Baker) P. H. Davis	Vegetables (green)	Asparagus
Allium melananthum Coincy	Vegetables (flavouring)	Alliums
Allium pardoi Loscos	Vegetables (flavouring)	Alliums
Allium pervestitum Klokov	Vegetables (flavouring)	Alliums
Allium pyrenaicum Costa & Vayr.	Vegetables (flavouring)	Alliums
Allium sativum L.	Vegetables (flavouring)	Garlic
Allium scabriscapum Boiss.	Vegetables (flavouring)	Chinese chives
Allium schmitzii Cout.	Vegetables (flavouring)	Chinese scallion
Allium schoenoprasum L.	Vegetables (flavouring)	Chinese scallion
Allium schoenoprasum L. subsp. schoenoprasum	Vegetables (flavouring)	Chives
Allium schoenoprasum subsp. gredense (Rivas Goday) Rivas Mart., Fern. Gonz. & Sánchez
Mata	Vegetables (flavouring)	Chives
Allium schoenoprasum subsp. latiorifolium (Pau) Rivas Mart., Fern. Gonz. & Sánchez Mata	Vegetables (flavouring)	Chives
Allium truncatum (Feinbrun) F. Kollmann & D. Zohary	Vegetables (flavouring/green)	Leek
Allium tuberosum Rottler ex Spreng.	Vegetables (flavouring)	Chinese chives
Alopecurus pratensis L.	Fodder/forage	Meadow foxtail
Agrostis stolonifera subsp. straminea (Hartm.) Tzvelev	Fodder/forage	Creeping bent
Allium albiflorum Omelczuk	Vegetables (flavouring)	Alliums
