Crop wild relative	Related crop use category	Related crop common name
Triticum timopheevii (Zhuk.) Zhuk. subsp. timopheevii	Cereals	Timopheev's wheat
Triticum timopheevii subsp. armeniacum (Jakubz.) Mackey	Cereals	Wheat
Triticum turgidum L.	Cereals	Wheat
Triticum turgidum L. subsp. turgidum	Cereals	Poulard wheat
Triticum turgidum subsp. asiaticum (Vavilov) H. Scholz	Cereals	Wheat
Triticum turgidum subsp. carthlicum (Nevski) Á. Löve & D. Löve	Cereals	Persian wheat
Triticum turgidum subsp. dicoccoides (Asch. & Graebn.) Thell.	Cereals	Wheat
Triticum turgidum subsp. dicoccon (Schrank) Thell.	Cereals	Emmer wheat
Triticum turgidum subsp. durum (Desf.) Husn.	Cereals	Durum wheat
Triticum turgidum subsp. polonicum (L.) Thell.	Cereals	Polish wheat
Triticum turgidum subsp. subspontaneum (Tzvelev) Valdés & H. Scholz	Cereals	Wheat
Triticum turgidum subsp. volgense (Flaksb.) Á Löve & D. Löve	Cereals	Wheat
Trifolium repens var. orphanideum (Boiss.) Boiss.	Fodder/forage	White clover
Trifolium resupinatum L.	Fodder/forage	Persian clover
Trifolium resupinatum L. var. resupinatum	Fodder/forage	Persian clover
Trifolium resupinatum var. majus Boiss.	Fodder/forage	Persian clover
Trifolium squarrosum L.	Fodder/forage	Squarrose clover
Trifolium subterraneum L.	Fodder/forage	Subterranean clover
Trifolium subterraneum subsp. oxaloides Nyman	Fodder/forage	Subterranean clover
Trifolium subterraneum subsp. yanninicum Katzn. & F. H. W. Morley	Fodder/forage	Subterranean clover
Trifolium vesiculosum Savi	Fodder/forage	Arrowleaf clover
Trigonella foenum-graecum L.	Fodder/forage	Fenugreek
Trisetum flavescens (L.) P. Beauv.	Fodder/forage	Golden oatgrass
Trisetum flavescens (L.) P. Beauv. subsp. flavescens	Fodder/forage	Golden oatgrass
Trisetum flavescens subsp. baregense (Laffitte & Miégev.) O. Bolòs & al.	Fodder/forage	Golden oatgrass
Trisetum flavescens subsp. corsicum (Rouy) Cif. & Giacom.	Fodder/forage	Golden oatgrass
Trisetum flavescens subsp. purpurascens (DC.) Arcang.	Fodder/forage	Golden oatgrass
Trisetum flavescens subsp. serbicum (Velen.) Hayek	Fodder/forage	Golden oatgrass
Trisetum flavescens subsp. splendens (C. Presl) Arcang.	Fodder/forage	Golden oatgrass
Trisetum flavescens subsp. tenue (Formánek) Strid	Fodder/forage	Golden oatgrass
Trifolium isthmocarpum subsp. jaminianum (Boiss.) Murb.	Fodder/forage	Moroccan clover
Trifolium michelianum Savi	Fodder/forage	Balansa clover
Trifolium michelianum Savi var. michelianum	Fodder/forage	Balansa clover
Trifolium michelianum var. balansae (Boiss.) Azn.	Fodder/forage	Balansa clover
Trifolium pratense L.	Fodder/forage	Red clover
Trifolium pratense L. var. pratense	Fodder/forage	Red clover
Trifolium pratense var. americanum Harz	Fodder/forage	Red clover
Trifolium pratense var. frigidum Gaudin	Fodder/forage	Red clover
Trifolium pratense var. maritimum Zabel	Fodder/forage	Red clover
Trifolium pratense var. sativum Schreb.	Fodder/forage	Red clover
Trifolium repens L.	Fodder/forage	White clover
Trifolium repens L. var. repens	Fodder/forage	White clover
Trifolium repens subsp. prostratum Nyman	Fodder/forage	White clover
Trifolium repens var. biasolettii (Steud. & Hochst.) Asch. & Graebn.	Fodder/forage	White clover
Trifolium repens var. macrorrhizum Boiss.	Fodder/forage	White clover
Trifolium repens var. nevadense (Boiss.) C. Vicioso	Fodder/forage	White clover
Trifolium repens var. ochranthum K. Malý	Fodder/forage	White clover
Trifolium repens var. orbelicum (Velen.) R. M. Fritsch	Fodder/forage	White clover
Trifolium alpestre var. durmitoreum Rohlena	Fodder/forage	Owlhead clover
Trifolium ambiguum M. Bieb.	Fodder/forage	Caucasian clover
Trifolium angustifolium L.	Fodder/forage	Narrow clover
Trifolium argutum Banks & Sol.	Fodder/forage	Clover (berseem, red,
subterranean, white)
Trifolium arvense L.	Fodder/forage	Harefoot clover
Trifolium fragiferum L.	Fodder/forage	Strawberry clover
Trifolium fragiferum L. subsp. fragiferum	Fodder/forage	Strawberry clover
Trifolium fragiferum subsp. bonannii (C. Presl) Soják	Fodder/forage	Strawberry clover
Trifolium hirtum All.	Fodder/forage	Rose clover
Trifolium hybridum L.	Fodder/forage	Alsike clover
Trifolium hybridum L. subsp. hybridum	Fodder/forage	Alsike clover
Trifolium hybridum subsp. anatolicum (Boiss.) M. Hossain	Fodder/forage	Alsike clover
Trifolium hybridum subsp. elegans (Savi) Asch. & Graebn.	Fodder/forage	Alsike clover
Trifolium incarnatum L.	Fodder/forage	Crimson clover
Trifolium incarnatum L. subsp. incarnatum	Fodder/forage	Crimson clover
Trifolium incarnatum subsp. molinerii (Hornem.) Syme	Fodder/forage	Crimson clover
Trifolium isthmocarpum Brot.	Fodder/forage	Moroccan clover
Trifolium isthmocarpum Brot. subsp. isthmocarpum	Fodder/forage	Moroccan clover
Sinapis arvensis var. orientalis (L.) W. D. J. Koch & Ziz	Oils/fodder	Rape
Sinapis flexuosa Poir.	Spices	White mustard
Solanum lidii Sunding	Fruits (savoury)	Eggplant
Solanum linnaeanum Hepper & P.-M. L. Jaeger	Fruits (savoury)	Eggplant
Solanum marginatum L. f.	Fruits (savoury)	Eggplant
Solanum sisymbrifolium Lam.	Fruits (savoury)	Eggplant
Solanum torvum Sw.	Fruits (savoury)	Eggplant
Sorghum bicolor (L.) Moench	Cereals	Sorghum
Sorghum halepense (L.) Pers.	Cereals	Sorghum
Trifolium alexandrinum L.	Fodder/forage	Berseem/Egyptian clover
Trifolium alpestre L.	Fodder/forage	Owlhead clover
Trifolium alpestre L. var. alpestre	Fodder/forage	Owlhead clover
Sinapis alba subsp. mairei (H. Lindb.) Maire	Vegetables (green)	Ethiopian cabbage
Sinapis arvensis L.	Oils/fodder	Rape
Sinapis arvensis L. subsp. arvensis	Oils/fodder	Rape
Sinapis alba L. subsp. alba	Spices	White mustard
Sinapis alba subsp. dissecta (Lag.) Simonk.	Oils/fodder	Rape
Setaria italica subsp. moharia (Alef.) R. A. W. Herrm.	Cereals	Foxtail millet
Setaria italica subsp. pycnocoma (Steud.) De Wet	Cereals	Foxtail millet
Sinapidendron angustifolium (DC.) Lowe	Vegetables (green)	Brassicas
Sinapidendron frutescens (Sol.) Lowe var. frutescens	Vegetables (green)	Brassicas
Sinapidendron frutescens Lowe	Vegetables (green)	Brassicas
Sinapidendron frutescens subsp. succulentum (Lowe) Rustan	Vegetables (green)	Brassicas
Sinapidendron gymnocalyx (Lowe) Rustan	Vegetables (green)	Brassicas
Sinapidendron rupestre Lowe	Vegetables (green)	Brassicas
Sinapidendron sempervivifolium Menezes	Vegetables (green)	Brassicas
Sinapis alba L.	Oils/fodder	Rape
Schedonorus arundinaceus subsp. orientalis (Hack.) H. Scholz & Valdés	Fodder/forage	Tall fescue
Schedonorus giganteus (L.) Holub	Fodder/forage	Giant fescue
Schedonorus pratensis (Huds.) P. Beauv.	Fodder/forage	Meadow fescue
Schedonorus pratensis (Huds.) P. Beauv. subsp. pratensis	Fodder/forage	Meadow fescue
Schedonorus pratensis subsp. apenninus (De Not.) H. Scholz & Valdés	Fodder/forage	Meadow fescue
Secale cereale L.	Cereals	Wheat
Secale cereale L. subsp. cereale	Cereals	Rye
Secale cereale subsp. ancestrale Zhuk.	Cereals	Rye
Secale strictum (C. Presl) C. Presl	Cereals	Rye
Secale strictum (C. Presl) C. Presl subsp. strictum	Cereals	Rye
Secale strictum subsp. anatolicum (Boiss.) Hammer	Cereals	Rye
Secale strictum subsp. balcanum (Ganchev) Valdés & H. Scholz	Cereals	Rye
Secale strictum subsp. ciliatoglume (Boiss.) Hammer	Cereals	Rye
Secale sylvestre Host	Cereals	Rye
Secale vavilovii Grossh.	Cereals	Rye
Securigera varia (L.) Lassen	Fodder/forage	Crownvetch
Setaria italica (L.) P. Beauv.	Cereals	Foxtail millet
Setaria italica (L.) P. Beauv. subsp. italica	Cereals	Foxtail millet
Rubus idaeus L. subsp. idaeus	Fruits	Raspberry
